2ndFlrSF,GarageArea,LotArea,TotalBsmtSF,YearBuilt
0.0,774,11694,1822,2007
0.0,308,6600,894,1962
0.0,432,13360,876,1921
0.0,857,13265,1568,2002
0.0,843,13704,1541,2001
0.0,400,7500,1221,2004
0.0,440,8658,1088,1965
720.0,484,2572,696,1999
462.0,297,1596,462,1973
349.0,440,6000,735,1941
896.0,397,6931,746,2003
0.0,460,7577,1362,2005
788.0,442,7700,756,1966
0.0,451,11310,1367,1954
,528,12000,924,1948
0.0,588,16157,1360,1978
728.0,400,9018,728,2007
0.0,497,9947,1188,1990
0.0,625,7200,0,1950
612.0,528,3000,612,2009
752.0,468,6120,952,1931
406.0,384,8405,861,1900
557.0,297,7200,803,1938
0.0,420,4426,848,2004
780.0,749,12244,1482,2003
0.0,396,8877,836,1951
0.0,398,3072,1375,2004
924.0,396,9600,735,1917
110.0,0,5586,901,1920
0.0,499,5664,1501,2000
0.0,308,8263,1012,1920
998.0,672,15863,824,1920
,672,7630,360,1900
872.0,650,7050,1057,2001
0.0,576,10780,911,1976
0.0,765,14601,1838,2006
0.0,924,14778,1296,1954
0.0,672,7931,1148,1959
0.0,280,9758,950,1971
846.0,471,9554,777,1993
720.0,440,8737,1065,1923
0.0,440,11175,1316,2007
0.0,615,11717,1442,1970
0.0,500,12537,1078,1971
0.0,544,6970,1040,1961
640.0,527,7750,408,2002
682.0,240,3378,651,1946
0.0,280,9920,1056,1954
0.0,874,11846,1792,2003
,402,4500,1216,1998
764.0,576,7200,596,1920
1112.0,434,11796,847,2004
,546,11250,1208,1977
650.0,315,11344,874,1958
358.0,240,5436,796,1922
0.0,420,7200,0,1950
0.0,273,5784,190,1938
0.0,600,7032,943,1979
902.0,603,9803,866,2005
1177.0,779,14774,1393,1999
0.0,275,10150,912,1958
0.0,308,12702,0,1956
0.0,511,4060,1405,1998
0.0,850,13891,2076,2006
1203.0,752,12257,1318,1995
787.0,240,7200,731,1937
0.0,538,4750,1573,2006
700.0,389,159000,1444,1958
,880,13500,1237,1893
728.0,477,12090,585,1984
0.0,541,9100,1525,2000
0.0,722,10991,1571,2007
0.0,0,8777,796,1910
994.0,432,6600,994,1892
670.0,402,10784,384,1991
0.0,364,10246,648,1965
1104.0,372,21930,732,2005
0.0,484,10140,1040,1974
574.0,694,13693,2153,2006
455.0,200,5720,676,1941
1000.0,400,7596,960,1952
0.0,336,9204,1144,1963
0.0,576,6979,1056,1980
0.0,0,4118,693,1941
0.0,576,9236,1479,1997
0.0,482,3842,1594,2004
0.0,352,7180,864,1972
0.0,750,9000,1566,2008
660.0,497,12936,723,1972
0.0,539,6240,780,1925
574.0,180,6120,939,1920
408.0,560,6240,884,1931
0.0,386,7742,955,1966
0.0,210,9786,1007,1922
0.0,572,34650,1056,1955
797.0,615,8125,756,2005
0.0,865,11210,1614,2005
0.0,1390,12704,2042,2008
0.0,326,5400,1073,1921
213.0,240,8635,672,1948
0.0,550,12925,1205,1970
0.0,0,9098,528,1920
0.0,300,7945,1150,1959
728.0,400,8029,728,2005
0.0,588,12122,944,1961
750.0,564,8846,750,2005
0.0,375,15750,1165,1953
729.0,398,7415,839,2004
1054.0,836,11308,1104,2008
0.0,573,9196,1560,2003
,312,9480,728,1942
0.0,286,1526,630,1970
0.0,504,7917,1143,1976
1101.0,947,14154,1063,2006
550.0,384,11767,560,1910
1426.0,550,9000,1184,2007
932.0,936,10625,1026,2005
0.0,898,9612,1468,2008
432.0,539,10125,0,1977
432.0,240,11767,768,1946
438.0,438,8125,1092,2006
795.0,440,6204,795,1912
0.0,240,10480,1064,1936
0.0,624,9100,864,1958
0.0,440,14145,1208,1984
504.0,264,1680,483,1972
